_id,arabic_name,description,type,latitude,longitude,directorate,directorate_latitude,directorate_longitude,icon,tags,start_time,end_time,phone_no
128,"بنگه‌هێ دێراگژنیك یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Dirgznik,branch,36.9293,43.1529,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
129,"بنگه‌هێ ناڤشكێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Nafshki,branch,37.057,42.9774,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
130,"بنگه‌هێ ئه‌تروش یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Atrush,main,36.8372,43.3337,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
131,"بنگه‌هێ قه‌سروك یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Qasrok,main,36.6991,43.5974,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
132,"بنگه‌هێ چره‌ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",JrA,main,36.6394,43.5242,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
133,"بنگه‌هێ كه‌له‌كچی یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Klikji,main,36.5815,43.5218,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
134,"بنگه‌هێ باعه‌درێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","Ba adre",branch,36.724,43.2546,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
135,"بنگه‌هێ بلان یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Blan,branch,36.8326,43.4398,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
136,"بنگه‌هێ میرسیدا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Mersida,branch,36.8218,43.5015,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
137,"بنگه‌هێ نوردینیڤا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","Nordina ava",branch,36.8143,43.2796,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
